"Максимальная температура, °С","Минимальная температура, °С",Состояние,"Скорость ветра, м/c","Кол-во осадков, мм р.с.","Относительная влажность, %"
16,13,Малооблачно,5,751,91
16,13,Дождь,3,750,92
16,15,Облачно,4,750,85
17,15,Облачно,2,747,87
12,11,Пасмурно,5,747,84
14,13,Пасмурно,4,754,93
19,16,Пасмурно,4,757,77
18,18,Пасмурно,4,754,94
21,19,Небольшой дождь,5,752,80
17,15,Облачно,5,749,92
14,12,Облачно,6,756,89
13,10,Ясно,4,760,73
17,15,Облачно,2,760,67
22,19,Ясно,3,757,94
20,19,Пасмурно,4,757,88
21,20,Дождь,3,755,82
21,20,Малооблачно,5,755,72
20,18,Облачно,3,758,88
23,20,Пасмурно,3,761,87
22,20,Ясно,3,763,82
22,20,Малооблачно,3,764,84
23,21,Малооблачно,2,763,75
19,17,Небольшой дождь,4,766,87
18,17,Облачно,2,764,66
17,14,Облачно,4,766,84
16,15,Облачно,1,766,71
12,12,Небольшой дождь,5,758,91
11,8,Облачно,5,766,74
17,16,Ясно,7,763,75
11,9,Малооблачно,3,764,67
9,8,Облачно,3,762,71
