"Максимальная температура, °С","Минимальная температура, °С",Состояние,"Скорость ветра, м/c","Кол-во осадков, мм р.с.","Относительная влажность, %"
-7,-7,Снег,4,746,0
-2,-2,Снег,5,740,0
0,-1,Снег,6,733,0
-1,-2,Снег,8,731,0
-5,-7,Снег,3,735,0
-15,-16,Снег,5,748,0
-18,-23,Снег,6,753,0
-16,-16,Ясно,5,753,0
-12,-12,Снег,7,746,0
-4,-1,Снег,6,738,0
0,1,Снег,8,727,0
-2,-3,Снег,5,737,0
2,2,Снег,10,738,0
1,1,Снег,6,748,0
-1,-2,Снег,5,749,0
-5,-12,Снег,4,756,0
-5,-5,Снег,5,757,0
-2,-2,Снег,5,752,0
-3,-9,Снег,3,750,0
-4,-16,Ясно,2,754,0
-13,-19,Ясно,2,761,0
-24,-25,Ясно,2,762,0
-17,-19,Ясно,5,766,0
-19,-18,Ясно,6,766,0
-18,-20,Ясно,6,766,0
-19,-17,Снег,5,761,0
-16,-13,Снег,6,756,0
-10,-10,Снег,5,752,0
-14,-15,Снег,4,751,0
-12,-11,Снег,5,751,0
-3,-3,Снег,7,749,0
