"Максимальная температура, °С","Минимальная температура, °С",Состояние,"Скорость ветра, м/c","Кол-во осадков, мм р.с.","Относительная влажность, %"
23,17,Небольшой дождь,6,748,53
23,18,Гроза,4,752,74
24,19,Пасмурно,3,741,49
24,16,Облачно,5,741,47
22,15,Небольшой дождь,6,757,69
25,15,Облачно,7,758,40
26,17,Ясно,6,762,35
28,18,Ясно,6,763,42
30,21,Облачно,5,761,35
31,20,Пасмурно,5,758,38
28,19,Пасмурно,6,758,37
26,17,Малооблачно,5,761,34
29,19,Малооблачно,4,761,38
32,19,Небольшой дождь,9,752,30
31,19,Небольшой дождь,4,750,38
31,21,Гроза,5,755,41
32,21,Малооблачно,3,754,38
33,23,Пасмурно,4,752,35
33,22,Дождь,6,752,36
32,19,Дождь,6,751,40
28,18,Небольшой дождь,5,752,44
22,16,Небольшой дождь,7,750,55
22,16,Облачно,4,752,37
23,16,Ясно,5,755,43
22,14,Малооблачно,3,762,39
24,17,Малооблачно,3,765,36
25,18,Небольшой дождь,4,762,52
28,19,Ясно,4,759,36
26,20,Небольшой дождь,6,754,54
30,19,Гроза,6,752,44
27,19,Пасмурно,6,752,53
