"Максимальная температура, °С","Минимальная температура, °С",Состояние,"Скорость ветра, м/c","Кол-во осадков, мм р.с.","Относительная влажность, %"
-10,-17,Снег,3,766,96
1,-3,Дождь,7,752,98
-3,-7,Снег,6,754,97
1,-1,Пасмурно,9,749,93
-1,-10,Небольшой дождь,4,752,98
-6,-12,Облачно,2,760,95
-3,-15,Небольшой снег,6,756,96
-3,-12,Сильный снег,7,748,94
-8,-16,Снег,2,755,96
-14,-22,Пасмурно,5,762,93
-15,-25,Пасмурно,4,769,93
-9,-19,Облачно,2,770,86
-8,-16,Облачно,7,768,74
-2,-7,Небольшой снег,7,764,92
-1,-6,Дождь,8,764,82
-2,-7,Снег,5,766,86
-3,-7,Снег,6,761,91
0,-5,Небольшой дождь,1,753,99
-3,-7,Снег,4,754,93
-2,-6,Облачно,4,757,92
-3,-9,Облачно,4,755,90
0,-8,Небольшой дождь,6,752,85
0,-7,Дождь,2,755,93
0,-6,Пасмурно,5,760,91
1,-8,Ясно,4,759,89
1,-3,Дождь,3,758,98
1,0,Облачно,4,760,98
1,-2,Облачно,4,765,93
2,-2,Дождь,5,770,86
1,-7,Облачно,2,775,87
3,-4,Пасмурно,7,769,92
