"Максимальная температура, °С","Минимальная температура, °С",Состояние,"Скорость ветра, м/c","Кол-во осадков, мм р.с.","Относительная влажность, %"
16,15,Небольшой дождь,2,742,64
15,14,Пасмурно,4,757,88
17,17,Пасмурно,6,737,80
17,16,Пасмурно,3,742,79
16,15,Небольшой дождь,2,744,76
18,17,Облачно,2,744,82
25,16,Облачно,2,760,47
25,16,Ясно,3,761,42
24,16,Небольшой дождь,3,761,45
25,18,Малооблачно,3,761,46
26,19,Малооблачно,3,761,45
28,20,Дождь,3,758,50
18,14,Облачно,4,760,81
19,13,Малооблачно,6,764,49
20,13,Пасмурно,4,766,47
24,15,Пасмурно,2,763,39
26,18,Пасмурно,3,761,48
25,16,Пасмурно,5,759,67
23,16,Малооблачно,5,761,44
27,17,Облачно,2,757,41
21,13,Облачно,5,756,59
20,13,Ясно,4,759,41
21,14,Пасмурно,2,761,41
21,15,Пасмурно,3,758,71
18,11,Малооблачно,6,763,46
20,11,Дождь,5,763,52
24,15,Облачно,7,758,58
24,16,Облачно,5,752,61
19,12,Небольшой дождь,5,752,67
20,12,Ясно,2,755,42
