"Максимальная температура, °С","Минимальная температура, °С",Состояние,"Скорость ветра, м/c","Кол-во осадков, мм р.с.","Относительная влажность, %"
11,4,Ясно,4,761,39
14,5,Облачно,12,749,80
16,9,Пасмурно,7,751,59
19,9,Малооблачно,5,756,53
21,12,Малооблачно,3,760,48
22,13,Ясно,2,759,45
22,14,Малооблачно,1,756,49
25,15,Ясно,6,757,44
27,17,Малооблачно,9,752,35
26,19,Гроза,7,758,51
20,15,Облачно,5,759,82
22,17,Пасмурно,8,761,74
28,17,Дождь,4,760,51
27,19,Облачно,4,757,50
34,20,Небольшой дождь,2,758,52
21,13,Небольшой дождь,6,758,72
15,8,Облачно,5,763,51
17,8,Малооблачно,7,759,52
14,6,Малооблачно,7,758,54
19,9,Малооблачно,5,762,49
18,12,Малооблачно,2,763,43
21,14,Небольшой дождь,7,757,58
27,15,Небольшой дождь,7,751,51
14,7,Дождь,7,756,74
21,11,Облачно,6,760,56
23,13,Пасмурно,7,753,66
22,12,Дождь,6,754,63
24,16,Пасмурно,4,761,58
32,20,Облачно,3,763,58
32,21,Ясно,5,763,53
33,21,Гроза,5,760,53
